,State,CD,HRC,DJT,HRCper,DJTper
211,27,1,1,2,0.3,0.7
212,27,2,1,4,0.2,0.8
213,27,3,5,4,0.6,0.4
214,27,4,2,2,0.5,0.5
215,27,5,4,1,0.8,0.2
216,27,6,5,9,0.4,0.6
217,27,7,4,3,0.6,0.4
218,27,8,5,1,0.8,0.2
219,28,1,0,1,0,0
220,28,2,4,1,0.8,0.2
221,28,3,2,2,0.5,0.5
222,28,4,12,6,0.7,0.3
223,29,1,3,0,0,0
224,29,2,7,1,0.9,0.1
225,29,3,0,4,0,0
226,29,4,1,5,0.2,0.8
227,29,5,2,2,0.5,0.5
228,29,6,4,4,0.5,0.5
229,29,7,1,5,0.2,0.8
230,30,1,2,6,0.2,0.8
231,31,1,2,1,0.7,0.3
232,31,2,5,0,0,0
233,31,3,3,4,0.4,0.6
234,32,1,5,1,0.8,0.2
235,32,2,1,1,0.5,0.5
236,32,3,2,4,0.3,0.7
237,32,4,4,3,0.6,0.4
238,33,1,13,7,0.6,0.4
239,33,2,4,0,0,0
240,34,1,6,2,0.8,0.2
241,34,2,4,2,0.7,0.3
242,34,3,2,2,0.5,0.5
243,34,4,4,1,0.8,0.2
244,34,5,2,1,0.7,0.3
245,34,6,7,7,0.5,0.5
246,34,7,5,6,0.5,0.5
247,34,8,2,1,0.7,0.3
248,34,9,1,0,0,0
249,34,10,6,0,0,0
250,34,11,3,3,0.5,0.5
251,34,12,7,2,0.8,0.2
252,35,1,4,5,0.4,0.6
253,35,2,1,0,0,0
254,35,3,8,4,0.7,0.3
255,36,1,4,0,0,0
256,36,2,2,2,0.5,0.5
257,36,3,0,3,0,0
258,36,4,0,1,0,0
259,36,5,3,0,0,0
260,36,6,2,1,0.7,0.3
261,36,7,7,0,0,0
262,36,8,6,0,0,0
263,36,9,1,0,0,0
264,36,10,2,2,0.5,0.5
265,36,11,4,3,0.6,0.4
266,36,12,12,0,0,0
267,36,13,3,0,0,0
268,36,14,2,0,0,0
269,36,16,2,1,0.7,0.3
270,36,17,2,3,0.4,0.6
271,36,18,3,1,0.8,0.2
272,36,19,3,1,0.8,0.2
273,36,20,2,2,0.5,0.5
274,36,21,2,2,0.5,0.5
275,36,22,3,0,0,0
276,36,23,2,2,0.5,0.5
277,36,24,4,3,0.6,0.4
278,36,25,4,0,0,0
279,36,26,4,3,0.6,0.4
280,36,27,0,3,0,0
281,37,1,18,8,0.7,0.3
282,37,2,6,0,0,0
283,37,3,8,5,0.6,0.4
284,37,4,4,1,0.8,0.2
285,37,5,7,7,0.5,0.5
286,37,6,4,5,0.4,0.6
287,37,7,3,4,0.4,0.6
288,37,8,2,2,0.5,0.5
289,37,9,4,4,0.5,0.5
290,37,10,2,4,0.3,0.7
291,37,11,2,5,0.3,0.7
292,37,12,6,0,0,0
293,37,13,4,1,0.8,0.2
294,38,1,1,2,0.3,0.7
295,39,1,3,5,0.4,0.6
296,39,2,9,6,0.6,0.4
297,39,3,2,2,0.5,0.5
298,39,4,1,1,0.5,0.5
299,39,5,2,1,0.7,0.3
300,39,6,1,12,0.1,0.9
301,39,7,5,3,0.6,0.4
302,39,8,5,1,0.8,0.2
303,39,9,5,1,0.8,0.2
304,39,10,5,1,0.8,0.2
305,39,11,4,0,0,0
306,39,12,2,4,0.3,0.7
307,39,13,4,2,0.7,0.3
308,39,14,2,3,0.4,0.6
309,39,15,3,3,0.5,0.5
310,39,16,1,4,0.2,0.8
311,40,1,1,0,0,0
312,40,2,2,2,0.5,0.5
313,40,3,3,0,0,0
314,40,4,1,4,0.2,0.8
315,40,5,7,7,0.5,0.5
316,41,1,5,2,0.7,0.3
317,41,2,0,2,0,0
318,41,3,10,1,0.9,0.1
319,41,4,6,1,0.9,0.1
320,41,5,3,1,0.8,0.2
321,42,1,5,2,0.7,0.3
322,42,2,6,1,0.9,0.1
323,42,3,4,4,0.5,0.5
324,42,4,0,4,0,0
325,42,5,5,1,0.8,0.2
326,42,6,9,2,0.8,0.2
